last_name,first_name,work_group,job_title,email,work_phone,cell_phone,desk_area,seat
Doe,Jane,Human Resources,HR 1,janedoe@company.com,5552009388,5552935147,Desk A,seat 1
Smith,Lisa,Accounting,Act 1,lisasmith@company.com,5556137007,5559903632,Desk A,seat 2
Johnson,Daniel,Sales,Sales 1,danieljohnson@company.com,5557526813,5552238192,Desk A,seat 3
Armstrong,Neil,Accounting,Act 2,neilarmstrong@company.com,5555897203,5558198067,Desk A,seat 4
Grissom,Virgil,Sales,Sales 2,virgilgrissom@company.com,5552074055,5555584263,Desk B,seat 1
Schirra,Walter,Human Resources,HR 2,walterschirra@company.com,5556188354,5552364325,Desk B,seat 2
McDivitt,James,Management,Mgmt 2,jamesmcdivitt@company.com,5555912112,5556461437,Desk B,seat 3
Stafford,Thomas,Research,Rsch 1,thomasstafford@company.com,5552728588,5555601003,Desk B,seat 4
Young,John,Research,Rsch 2,johnyoung@company.com,5552078760,5556666867,Desk C,seat 1
Scott,David,Sales,Sales 1,davidscott@company.com,5553688110,5558413454,Desk C,seat 2
Cernan,Eugene,Management,Mgmt 2,eugenecernan@company.com,5556783348,5552576104,Desk C,seat 3
Schmitt,Harrison,Sales,Sales 1,harrisonschmitt@company.com,5556264282,5552250162,Desk C,seat 4
Roosa,Stuart,Sales,Sales 3,stuartroosa@company.com,5558232744,5552937662,Desk D,seat 1
Worden,Mitchell,Public Relations,PR 1,mitchellworden@company.com,5553133935,5554873444,Desk D,seat 2
Irwin,James,Public Relations,PR 2,jamesirwin@company.com,5552002779,5554121055,Desk D,seat 3
Doe,Jack,Sales,Sales 4,jackdoe@company.com,5553133751,5552735153,Desk D,seat 4
